SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
MA,CENTRO DO GUILHERME,11648.0,80.35,68.75,58.17,63.46
MA,IGARAPÉ DO MEIO,17052.0,80.15,59.76,66.49,63.12
MA,ARAGUANÃ,11522.0,78.01,63.39,60.3,61.85
MA,MARANHÃOZINHO,12238.0,75.15,61.53,57.26,59.4
MA,ZÉ DOCA,49094.0,69.35,53.68,55.91,54.79
MA,SATUBINHA,10906.0,72.89,55.07,49.84,52.46
AP,MAZAGÃO,32858.0,58.24,43.25,57.67,50.46
PE,JAQUEIRA,14040.0,65.04,49.54,49.99,49.76
MA,GOVERNADOR NEWTON BELLO,11516.0,77.63,57.24,40.27,48.76
MA,CÂNDIDO MENDES,23672.0,71.61,52.17,43.3,47.74
PI,ALEGRETE DO PIAUÍ,6918.0,77.69,49.78,45.68,47.73
MA,FERNANDO FALCÃO,14740.0,78.02,21.51,73.42,47.46
RN,SANTANA DO SERIDÓ,4462.0,67.46,48.9,45.18,47.04
RR,UIRAMUTÃ,11072.0,65.59,57.7,35.39,46.54
PA,MARAPANIM,38252.0,62.81,57.28,35.6,46.44
MG,SÃO JOÃO DAS MISSÕES,14188.0,69.43,44.74,44.31,44.52
MA,MARACAÇUMÉ,21820.0,64.48,44.8,43.11,43.96
PA,BAGRE,23756.0,76.92,34.69,50.1,42.4
RN,SÃO FERNANDO,6042.0,69.76,25.52,59.22,42.37
PI,CALDEIRÃO GRANDE DO PIAUÍ,8648.0,82.16,17.07,67.14,42.1
PE,ARARIPINA,92326.0,75.77,9.38,74.57,41.98
AP,TARTARUGALZINHO,16324.0,55.14,34.73,48.79,41.76
PA,SANTA CRUZ DO ARARI,9298.0,72.24,65.45,17.36,41.41
PA,BREVES,109838.0,58.35,40.57,41.1,40.84
PB,CUITÉ,27048.0,77.23,78.21,3.14,40.68
PA,NOVA TIMBOTEUA,18750.0,70.79,46.63,34.13,40.38
SP,ITAPEVI,227992.0,51.22,33.63,46.16,39.66
PA,SÃO DOMINGOS DO CAPIM,38378.0,71.37,44.65,34.23,39.44
MA,PIO XII,29138.0,76.01,37.9,40.81,39.35
AP,PRACUÚBA,6158.0,50.43,51.71,26.01,38.86
GO,FLORES DE GOIÁS,10200.0,54.54,65.57,11.53,38.55
PI,LUZILÂNDIA,31234.0,74.81,12.12,64.92,38.52
PA,PALESTINA DO PARÁ,9220.0,62.92,28.16,48.83,38.49
MA,BURITICUPU,64486.0,63.08,5.48,71.31,38.4
CE,LIMOEIRO DO NORTE,77532.0,74.11,23.24,53.26,38.25
PA,MOCAJUBA,43814.0,72.33,61.8,14.67,38.23
PI,BERTOLÍNIA,7588.0,67.71,5.61,70.48,38.05
MA,BOA VISTA DO GURUPI,9518.0,72.44,46.5,29.14,37.82
RN,PEDRO AVELINO,9782.0,71.97,64.22,11.41,37.81
MA,PRESIDENTE JUSCELINO,15074.0,76.44,34.56,40.48,37.52
PA,PONTA DE PEDRAS,34798.0,70.56,51.64,23.37,37.5
PA,BONITO,20300.0,59.38,41.39,33.51,37.45
MA,CAXIAS,173712.0,73.46,36.14,38.54,37.34
PA,CONCÓRDIA DO PARÁ,38342.0,58.4,55.06,19.5,37.28
GO,CAVALCANTE,10774.0,81.0,42.86,31.35,37.11
PA,SANTA LUZIA DO PARÁ,27588.0,69.67,23.4,50.71,37.06
MA,URBANO SANTOS,38570.0,82.27,6.51,67.32,36.92
MA,BARRA DO CORDA,93550.0,61.77,28.5,45.01,36.75
BA,LENÇÓIS,12482.0,85.17,11.74,61.64,36.69
BA,ARATUÍPE,13264.0,77.85,46.23,27.05,36.64
GO,IACIARA,12168.0,61.91,65.58,7.63,36.6
PB,MÃE D ÁGUA,6104.0,80.84,3.34,69.76,36.55
SC,CERRO NEGRO,5254.0,64.4,67.03,6.05,36.54
PI,BARRA D ALCÂNTARA,5324.0,83.27,18.93,53.94,36.44
MA,AMAPÁ DO MARANHÃO,8454.0,72.09,37.88,34.87,36.37
PA,NOVA ESPERANÇA DO PIRIÁ,24552.0,57.6,35.73,36.68,36.2
AP,AMAPÁ,10936.0,53.97,24.07,47.93,36.0
TO,RIO DOS BOIS,4070.0,63.15,25.11,46.39,35.75
BA,BARREIRAS,170170.0,54.55,32.13,39.19,35.66
RN,PARELHAS,28666.0,55.86,62.67,8.39,35.53
SC,PAINEL,4028.0,54.56,61.32,9.58,35.45
GO,VILA BOA,5562.0,58.87,49.59,21.22,35.4
SE,AQUIDABÃ,26888.0,70.7,16.41,54.04,35.22
PB,DESTERRO,11708.0,73.13,1.84,68.55,35.2
BA,URANDI,20450.0,77.31,11.46,58.61,35.04
AM,PARINTINS,109990.0,79.47,12.89,57.09,34.99
PA,MAGALHÃES BARATA,13400.0,61.95,44.07,25.84,34.96
PA,CACHOEIRA DO ARARI,28614.0,77.72,57.64,12.21,34.92
PB,BOM JESUS,4996.0,88.87,5.48,64.05,34.77
PE,VITÓRIA DE SANTO ANTÃO,169870.0,53.93,65.63,3.78,34.7
BA,BREJOLÂNDIA,12576.0,70.67,62.18,6.87,34.53
PA,ACARÁ,75228.0,64.67,56.47,12.56,34.51
PB,CACIMBAS,9264.0,83.54,1.71,67.01,34.36
BA,PALMEIRAS,12522.0,82.98,18.86,49.56,34.21
PA,SÃO CAETANO DE ODIVELAS,24716.0,67.92,24.11,44.27,34.19
PA,COLARES,18362.0,73.4,51.74,16.55,34.14
PA,SÃO JOÃO DE PIRABAS,27420.0,68.21,32.12,35.7,33.91
PA,TRACUATEUA,38824.0,75.02,35.63,32.17,33.9
PR,SANTO ANTÔNIO DO PARAÍSO,3544.0,54.31,60.27,7.39,33.83
PA,SOURE,34038.0,74.53,47.51,20.1,33.81
PA,SÃO JOÃO DA PONTA,9864.0,66.94,37.65,29.62,33.64
GO,CUMARI,3946.0,60.55,64.42,2.84,33.63
PA,TUCURUÍ,110558.0,51.55,54.46,12.78,33.62
MG,MATHIAS LOBATO,4742.0,52.06,1.81,65.37,33.59
MG,SILVEIRÂNIA,4456.0,54.96,2.92,64.18,33.55
BA,CAETANOS,15656.0,84.18,53.97,13.07,33.52
MG,ÁGUAS VERMELHAS,13840.0,62.15,37.14,29.9,33.52
AL,PALMEIRA DOS ÍNDIOS,82824.0,59.18,21.77,45.1,33.44
PA,GOIANÉSIA DO PARÁ,32562.0,54.35,44.34,22.35,33.34
PI,FRANCISCO MACEDO,4506.0,79.03,58.01,8.61,33.31
CE,QUIXERÉ,29700.0,72.87,23.84,42.73,33.29
PA,GARRAFÃO DO NORTE,34474.0,71.09,21.84,44.54,33.19
MA,FORTALEZA DOS NOGUEIRAS,16280.0,61.86,10.53,55.74,33.13
MA,VITORINO FREIRE,35916.0,69.0,16.88,49.37,33.12
PI,RIBEIRA DO PIAUÍ,5768.0,88.46,63.94,2.25,33.1
CE,HORIZONTE,97926.0,59.67,11.58,54.43,33.01
TO,LAVANDEIRA,2858.0,64.47,28.83,37.16,33.0
PA,SALVATERRA,31106.0,69.22,35.16,30.7,32.93
MA,BELÁGUA,11950.0,88.67,5.41,60.32,32.86
MA,PINHEIRO,92118.0,70.69,40.34,25.37,32.85
PA,IRITUIA,42242.0,70.75,39.37,26.33,32.85
CE,PINDORETAMA,31674.0,68.68,15.9,49.66,32.78
RN,SENADOR GEORGINO AVELINO,6368.0,62.61,14.86,50.69,32.77
TO,SÃO SEBASTIÃO DO TOCANTINS,5156.0,69.68,63.89,1.55,32.72
MA,PORTO FRANCO,28244.0,58.55,10.54,54.76,32.65
GO,MOSSÂMEDES,7358.0,50.59,57.71,7.56,32.63
PI,ACAUÃ,10942.0,89.77,3.87,61.25,32.56
CE,EUSÉBIO,84834.0,50.44,20.79,44.08,32.43
BA,CANDEIAS,106080.0,79.15,28.81,35.88,32.34
RN,TABOLEIRO GRANDE,4818.0,70.57,57.33,7.22,32.27
PA,VIGIA,61268.0,65.37,47.52,17.0,32.26
PI,CANAVIEIRA,5308.0,82.62,43.52,20.84,32.18
PA,CACHOEIRA DO PIRIÁ,21688.0,71.46,33.56,30.77,32.17
PA,MUANÁ,44126.0,71.96,50.42,13.69,32.06
PI,SANTO ANTÔNIO DOS MILAGRES,3144.0,75.05,8.27,55.66,31.97
CE,PIRES FERREIRA,13484.0,79.46,9.37,54.48,31.93
PB,QUIXABA,3916.0,78.48,9.14,54.7,31.92
BA,CORONEL JOÃO SÁ,22706.0,75.52,49.56,14.08,31.82
RN,SÃO JOSÉ DE MIPIBU,52748.0,58.33,16.65,46.9,31.78
MG,ARACITABA,4042.0,53.38,59.87,3.66,31.77
PA,TERRA ALTA,17080.0,63.51,45.81,17.68,31.74
GO,ALTO PARAÍSO DE GOIÁS,10588.0,55.91,39.06,24.4,31.73
MA,ITINGA DO MARANHÃO,27578.0,50.38,21.51,41.9,31.7
PI,SANTANA DO PIAUÍ,6830.0,75.48,54.38,8.37,31.38
PR,MARILENA,9170.0,50.54,29.18,33.41,31.3
MA,CENTRO NOVO DO MARANHÃO,18524.0,75.89,19.75,42.55,31.15
PA,CURRALINHO,37122.0,74.52,34.01,28.03,31.02
SE,CANHOBA,7094.0,79.84,20.02,41.67,30.84
PB,SANTA RITA,165264.0,53.08,21.21,40.32,30.76
PI,SÃO LOURENÇO DO PIAUÍ,8284.0,86.86,32.3,29.21,30.76
PB,JOCA CLAUDINO,3958.0,86.29,3.28,58.11,30.7
PA,BAIÃO,42278.0,72.72,45.59,15.77,30.68
MA,MATÕES,38562.0,81.58,6.96,54.24,30.6
AP,LARANJAL DO JARI,42502.0,55.72,22.94,38.24,30.59
PA,QUATIPURU,15000.0,73.56,19.6,41.55,30.57
PA,LIMOEIRO DO AJURU,36574.0,66.53,47.34,13.74,30.54
PI,CARIDADE DO PIAUÍ,7844.0,87.74,1.2,59.84,30.52
MA,SANTA LUZIA DO PARUÁ,26202.0,70.24,33.8,27.17,30.48
PB,IMACULADA,13194.0,84.19,2.71,58.07,30.39
PA,BREU BRANCO,46230.0,52.21,52.47,8.21,30.34
SP,EMBU DAS ARTES,289054.0,52.25,47.04,12.84,30.32
MA,SERRANO DO MARANHÃO,13480.0,88.78,56.96,3.59,30.27
PB,BOA VISTA,10430.0,62.29,52.2,8.19,30.19
PI,MATIAS OLÍMPIO,13196.0,76.44,17.82,42.47,30.15
PI,PEDRO LAURENTINO,4690.0,66.29,58.21,2.09,30.15
CE,CASCAVEL,96330.0,64.06,16.03,43.99,30.01
BA,DOM BASÍLIO,17556.0,80.6,5.83,54.19,30.01
TO,ARAGUACEMA,7380.0,54.03,49.08,10.68,29.88
SP,PEDREGULHO,16524.0,51.62,13.88,46.2,29.84
PI,AGRICOLÂNDIA,8046.0,83.18,54.14,5.54,29.84
