SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
MT,CASTANHEIRA,8536.0,25.28,68.13,28.87,48.5
SC,MARAVILHA,33062.0,27.41,41.9,46.59,44.25
MT,JUARA,35404.0,20.46,18.97,66.99,42.98
MG,PATROCÍNIO,105872.0,34.22,30.33,54.44,42.39
SC,SÃO PEDRO DE ALCÂNTARA,7182.0,22.29,43.61,40.63,42.12
SP,SARAPUÍ,9950.0,39.12,43.47,39.01,41.35
MT,RONDOLÂNDIA,3814.0,41.05,26.06,56.37,41.22
SC,FRAIBURGO,42990.0,30.91,57.07,22.98,40.03
SC,BOMBINHAS,27016.0,24.34,26.09,53.87,39.98
GO,CABECEIRAS,10710.0,43.38,67.21,11.39,39.3
SC,TREZE TÍLIAS,10370.0,20.2,43.84,34.08,38.96
GO,CAMPESTRE DE GOIÁS,5740.0,47.82,70.07,7.07,38.57
GO,MINEIROS,73198.0,38.64,27.62,49.34,38.48
AL,PARIPUEIRA,17734.0,39.39,7.0,69.81,38.41
MT,NOVO HORIZONTE DO NORTE,4626.0,21.47,21.83,54.04,37.94
AL,MATRIZ DE CAMARAGIBE,27252.0,42.62,6.88,68.02,37.45
MT,ALTO ARAGUAIA,17958.0,29.98,13.75,60.73,37.24
GO,IPORÁ,39622.0,32.16,43.75,30.52,37.14
AP,PEDRA BRANCA DO AMAPARI,15168.0,47.76,53.63,20.54,37.08
GO,VALPARAÍSO DE GOIÁS,145360.0,39.05,34.9,39.02,36.96
MA,SÃO PEDRO DOS CRENTES,7288.0,37.67,3.49,69.43,36.46
RR,NORMANDIA,13350.0,41.8,44.76,27.85,36.31
GO,DOVERLÂNDIA,9016.0,37.78,66.66,5.81,36.24
SC,CAMPO BELO DO SUL,9762.0,45.1,62.59,8.91,35.75
SC,LAGES,199816.0,28.77,61.41,9.94,35.67
TO,MONTE SANTO DO TOCANTINS,3874.0,43.16,35.98,35.26,35.62
MA,LAJEADO NOVO,9906.0,47.0,9.55,61.64,35.59
GO,PORTELÂNDIA,4906.0,40.84,22.83,48.31,35.57
AL,SÃO LUÍS DO QUITUNDE,34328.0,48.91,6.74,64.37,35.55
MT,PORTO DOS GAÚCHOS,6030.0,23.03,14.39,56.58,35.49
SP,COLÔMBIA,7748.0,47.7,24.32,46.85,35.45
GO,DAMIANÓPOLIS,5652.0,44.8,65.96,4.78,35.37
GO,LAGOA SANTA,2288.0,34.51,66.96,3.67,35.31
SC,BOM JARDIM DA SERRA,5812.0,30.52,49.59,20.82,35.2
MG,ESTRELA DO INDAIÁ,4322.0,45.82,67.14,3.01,35.08
SP,SANTOS,453145.0,38.94,31.62,37.65,34.67
PR,TUNAS DO PARANÁ,8314.0,44.62,18.43,50.66,34.54
GO,TROMBAS,4458.0,49.2,60.7,8.03,34.37
PR,SANTA CECÍLIA DO PAVÃO,4938.0,35.71,66.26,1.86,34.06
